Well,Well Position,Sample,Target,Replicate,Reporter,Quencher,Amp Status,Amp Score,Cq,Cq Confidence,Cq Mean,Cq SD,Auto Threshold,Threshold,Auto Baseline,Baseline Start,Baseline End,Tm1,Tm2,Tm3,Tm4,Tm5
7,A7,D251 fem,Cardinal,a,FAM,NFQ-MGB,AMP,1.604495678,30.94200639,0.981648988,30.9989397,0.070667799,FALSE,1.197016759,TRUE,13,22,59.97710037,,,,
7,A7,D251 fem,GAPDH,a,VIC,NFQ-MGB,AMP,1.271723239,25.02719727,0.955864687,25.98191276,0.941046614,FALSE,0.436806694,TRUE,11,18,66.76495361,,,,
8,A8,D251 fem,Cardinal,b,FAM,NFQ-MGB,AMP,1.614980332,31.07803131,0.978858096,30.9989397,0.070667799,FALSE,1.197016759,TRUE,13,23,65.28649902,,,,
8,A8,D251 fem,GAPDH,b,VIC,NFQ-MGB,AMP,1.152294533,26.9086673,0.920158022,25.98191276,0.941046614,FALSE,0.436806694,TRUE,11,19,79.83119965,,,,
9,A9,D251 fem,Cardinal,c,FAM,NFQ-MGB,AMP,1.615868164,30.97678139,0.979861834,30.9989397,0.070667799,FALSE,1.197016759,TRUE,7,23,60.19660187,,,,
9,A9,D251 fem,GAPDH,c,VIC,NFQ-MGB,AMP,1.200445901,26.0098737,0.919225922,25.98191276,0.941046614,FALSE,0.436806694,TRUE,11,18,61.30419922,,,,
10,A10,SDA-500 fem,Cardinal,a,FAM,NFQ-MGB,AMP,1.619204943,28.42772614,0.965635973,28.48888878,0.16567349,FALSE,1.197016759,TRUE,12,21,60.19660187,,,,
10,A10,SDA-500 fem,GAPDH,a,VIC,NFQ-MGB,AMP,1.243619191,25.04762303,0.942154784,25.46348499,0.685898678,FALSE,0.436806694,TRUE,11,18,60.41410065,,,,
11,A11,SDA-500 fem,Cardinal,b,FAM,NFQ-MGB,AMP,1.627279288,28.36249223,0.980802193,28.48888878,0.16567349,FALSE,1.197016759,TRUE,14,20,59.9822998,,,,
11,A11,SDA-500 fem,GAPDH,b,VIC,NFQ-MGB,AMP,1.157505411,26.25515488,0.890596974,25.46348499,0.685898678,FALSE,0.436806694,TRUE,11,18,77.68379974,,,,
12,A12,SDA-500 fem,Cardinal,c,FAM,NFQ-MGB,AMP,1.621084386,28.67644798,0.979789207,28.48888878,0.16567349,FALSE,1.197016759,TRUE,11,21,60.19989777,,,,
12,A12,SDA-500 fem,GAPDH,c,VIC,NFQ-MGB,AMP,1.255447745,25.08767706,0.950625055,25.46348499,0.685898678,FALSE,0.436806694,TRUE,11,18,60.41749954,,,,
19,B7,D251 male,Cardinal,a,FAM,NFQ-MGB,AMP,1.590842467,30.7540215,0.983402657,30.74071126,0.022458292,FALSE,1.197016759,TRUE,13,23,60.41350174,,,,
19,B7,D251 male,GAPDH,a,VIC,NFQ-MGB,AMP,1.357167007,25.58897323,0.980939708,25.57082847,0.149546732,FALSE,0.436806694,TRUE,12,19,60.86170197,,,,
20,B8,D251 male,Cardinal,b,FAM,NFQ-MGB,AMP,1.597446601,30.75333055,0.973734633,30.74071126,0.022458292,FALSE,1.197016759,TRUE,4,22,59.97710037,,,,
20,B8,D251 male,GAPDH,b,VIC,NFQ-MGB,AMP,1.351954945,25.71047495,0.983439891,25.57082847,0.149546732,FALSE,0.436806694,TRUE,11,19,60.86170197,,,,
21,B9,D251 male,Cardinal,c,FAM,NFQ-MGB,AMP,1.596007657,30.71478172,0.982663279,30.74071126,0.022458292,FALSE,1.197016759,TRUE,6,21,60.19660187,,,,
21,B9,D251 male,GAPDH,c,VIC,NFQ-MGB,AMP,1.379919775,25.41303722,0.983180404,25.57082847,0.149546732,FALSE,0.436806694,TRUE,11,19,60.19660187,,,,
22,B10,SDA-500 male,Cardinal,a,FAM,NFQ-MGB,AMP,1.607042662,28.82647453,0.975519432,28.73503233,0.100779458,FALSE,1.197016759,TRUE,4,20,60.41410065,,,,
22,B10,SDA-500 male,GAPDH,a,VIC,NFQ-MGB,AMP,1.375564134,24.11322418,0.979999823,23.87561854,0.216874391,FALSE,0.436806694,TRUE,11,18,70.13639832,,,,
23,B11,SDA-500 male,Cardinal,b,FAM,NFQ-MGB,AMP,1.606966926,28.75164293,0.984133181,28.73503233,0.100779458,FALSE,1.197016759,TRUE,15,21,59.9822998,,,,
23,B11,SDA-500 male,GAPDH,b,VIC,NFQ-MGB,AMP,1.391221619,23.82531516,0.988986184,23.87561854,0.216874391,FALSE,0.436806694,TRUE,11,18,60.41749954,,,,
24,B12,SDA-500 male,Cardinal,c,FAM,NFQ-MGB,AMP,1.606856098,28.62697952,0.97958543,28.73503233,0.100779458,FALSE,1.197016759,TRUE,12,20,59.9822998,,,,
24,B12,SDA-500 male,GAPDH,c,VIC,NFQ-MGB,AMP,1.391405767,23.68831629,0.984807776,23.87561854,0.216874391,FALSE,0.436806694,TRUE,10,17,59.9822998,,,,
31,C7,2360B5 fem,Cardinal,a,FAM,NFQ-MGB,AMP,1.612515237,26.90931256,0.979073623,27.01437503,0.099303532,FALSE,1.197016759,TRUE,12,19,60.19530106,,,,
31,C7,2360B5 fem,GAPDH,a,VIC,NFQ-MGB,AMP,1.420659594,26.37452767,0.987243019,26.79437806,0.377844155,FALSE,0.436806694,TRUE,13,20,63.79695129,,,,
32,C8,2360B5 fem,Cardinal,b,FAM,NFQ-MGB,AMP,1.609631907,27.10668817,0.968864126,27.01437503,0.099303532,FALSE,1.197016759,TRUE,12,20,60.86170197,,,,
32,C8,2360B5 fem,GAPDH,b,VIC,NFQ-MGB,AMP,1.386023315,26.90153923,0.989706154,26.79437806,0.377844155,FALSE,0.436806694,TRUE,12,21,64.29679871,,,,
33,C9,2360B5 fem,Cardinal,c,FAM,NFQ-MGB,AMP,1.613969964,27.02712435,0.97132044,27.01437503,0.099303532,FALSE,1.197016759,TRUE,11,19,60.19660187,,,,
33,C9,2360B5 fem,GAPDH,c,VIC,NFQ-MGB,AMP,1.359739147,27.10706727,0.979804959,26.79437806,0.377844155,FALSE,0.436806694,TRUE,12,21,59.97909927,,,,
43,D7,2360B5 male,Cardinal,a,FAM,NFQ-MGB,AMP,1.592044837,25.24347282,0.956802399,25.17633354,0.087713706,FALSE,1.197016759,TRUE,11,18,59.97710037,,,,
43,D7,2360B5 male,GAPDH,a,VIC,NFQ-MGB,AMP,1.448775293,23.04862931,0.987521066,22.94946764,0.13487014,FALSE,0.436806694,TRUE,10,17,59.97710037,,,,
44,D8,2360B5 male,Cardinal,b,FAM,NFQ-MGB,AMP,1.594805997,25.20843682,0.958454477,25.17633354,0.087713706,FALSE,1.197016759,TRUE,11,18,59.97710037,,,,
44,D8,2360B5 male,GAPDH,b,VIC,NFQ-MGB,AMP,1.448564838,23.00388285,0.987905195,22.94946764,0.13487014,FALSE,0.436806694,TRUE,10,17,63.79695129,,,,
45,D9,2360B5 male,Cardinal,c,FAM,NFQ-MGB,AMP,1.597375908,25.07709098,0.972816448,25.17633354,0.087713706,FALSE,1.197016759,TRUE,3,17,59.97909927,,,,
45,D9,2360B5 male,GAPDH,c,VIC,NFQ-MGB,AMP,1.466649171,22.79589076,0.992007478,22.94946764,0.13487014,FALSE,0.436806694,TRUE,10,16,67.20110321,,,,
55,E7,QA383P female,Cardinal,a,FAM,NFQ-MGB,AMP,1.540357614,31.39153461,0.959906369,31.24622517,0.158910364,FALSE,1.197016759,TRUE,4,21,59.97710037,,,,
55,E7,QA383P female,GAPDH,a,VIC,NFQ-MGB,AMP,1.482923143,23.38056201,0.989832862,23.33554692,0.108951859,FALSE,0.436806694,TRUE,11,18,62.79899979,,,,
56,E8,QA383P female,Cardinal,b,FAM,NFQ-MGB,AMP,1.542492005,31.27060847,0.958295084,31.24622517,0.158910364,FALSE,1.197016759,TRUE,13,22,59.97710037,,,,
56,E8,QA383P female,GAPDH,b,VIC,NFQ-MGB,AMP,1.479847232,23.41477796,0.989458536,23.33554692,0.108951859,FALSE,0.436806694,TRUE,11,18,60.19530106,,,,
57,E9,QA383P female,Cardinal,c,FAM,NFQ-MGB,AMP,1.54597896,31.07653242,0.957976848,31.24622517,0.158910364,FALSE,1.197016759,TRUE,12,21,60.19660187,,,,
57,E9,QA383P female,GAPDH,c,VIC,NFQ-MGB,AMP,1.488828582,23.2113008,0.990213065,23.33554692,0.108951859,FALSE,0.436806694,TRUE,11,17,60.19660187,,,,
67,F7,QA383P male,Cardinal,a,FAM,NFQ-MGB,AMP,1.538546647,29.35884036,0.960408769,29.30121498,0.111095536,FALSE,1.197016759,TRUE,11,19,59.97710037,,,,
67,F7,QA383P male,GAPDH,a,VIC,NFQ-MGB,AMP,1.486560415,20.0225985,0.987918456,19.9820945,0.086881158,FALSE,0.436806694,TRUE,9,14,60.19530106,,,,
68,F8,QA383P male,Cardinal,b,FAM,NFQ-MGB,AMP,1.53716543,29.37165804,0.96579143,29.30121498,0.111095536,FALSE,1.197016759,TRUE,3,18,59.97710037,,,,
68,F8,QA383P male,GAPDH,b,VIC,NFQ-MGB,AMP,1.485537632,20.04132775,0.988431686,19.9820945,0.086881158,FALSE,0.436806694,TRUE,9,14,59.97710037,,,,
69,F9,QA383P male,Cardinal,c,FAM,NFQ-MGB,AMP,1.544310227,29.17314653,0.957908879,29.30121498,0.111095536,FALSE,1.197016759,TRUE,11,19,60.19660187,,,,
69,F9,QA383P male,GAPDH,c,VIC,NFQ-MGB,AMP,1.491624885,19.88235725,0.991377083,19.9820945,0.086881158,FALSE,0.436806694,TRUE,9,14,60.19660187,,,,
79,G7,1759 fem,Cardinal,a,FAM,NFQ-MGB,AMP,1.594437578,26.87095867,0.967995469,26.87558852,0.053719274,FALSE,1.197016759,TRUE,3,19,60.19530106,,,,
79,G7,1759 fem,GAPDH,a,VIC,NFQ-MGB,AMP,1.476738029,24.27552035,0.989898572,24.29486294,0.049409173,FALSE,0.436806694,TRUE,11,18,63.79695129,,,,
80,G8,1759 fem,Cardinal,b,FAM,NFQ-MGB,AMP,1.593284406,26.93147287,0.96566302,26.87558852,0.053719274,FALSE,1.197016759,TRUE,11,19,59.97710037,,,,
80,G8,1759 fem,GAPDH,b,VIC,NFQ-MGB,AMP,1.475056332,24.35101719,0.991568637,24.29486294,0.049409173,FALSE,0.436806694,TRUE,11,18,64.29679871,,,,
81,G9,1759 fem,Cardinal,c,FAM,NFQ-MGB,AMP,1.600581071,26.82433401,0.970032057,26.87558852,0.053719274,FALSE,1.197016759,TRUE,11,19,60.19660187,,,,
81,G9,1759 fem,GAPDH,c,VIC,NFQ-MGB,AMP,1.483339777,24.25805129,0.991872765,24.29486294,0.049409173,FALSE,0.436806694,TRUE,11,18,60.19660187,,,,
91,H7,1759 male,Cardinal,a,FAM,NFQ-MGB,AMP,1.600550592,27.31497718,0.94600176,27.35689578,0.040056883,FALSE,1.197016759,TRUE,13,20,59.97710037,,,,
91,H7,1759 male,GAPDH,a,VIC,NFQ-MGB,AMP,1.470785365,25.52574251,0.986704249,25.51962507,0.007304839,FALSE,0.436806694,TRUE,11,19,79.83119965,,,,
92,H8,1759 male,Cardinal,b,FAM,NFQ-MGB,AMP,1.598334501,27.36092354,0.950476983,27.35689578,0.040056883,FALSE,1.197016759,TRUE,14,20,59.97710037,,,,
92,H8,1759 male,GAPDH,b,VIC,NFQ-MGB,AMP,1.469270144,25.5115371,0.990209453,25.51962507,0.007304839,FALSE,0.436806694,TRUE,11,19,59.97710037,,,,
93,H9,1759 male,Cardinal,c,FAM,NFQ-MGB,AMP,1.596558558,27.39478662,0.969393799,27.35689578,0.040056883,FALSE,1.197016759,TRUE,12,20,60.19660187,,,,
93,H9,1759 male,GAPDH,c,VIC,NFQ-MGB,AMP,1.469203841,25.5215956,0.990927129,25.51962507,0.007304839,FALSE,0.436806694,TRUE,11,19,59.97909927,,,,
95,H11,NTC,Cardinal,,FAM,NFQ-MGB,NO_AMP,0,UNDETERMINED,0,,,FALSE,1.197016759,TRUE,3,39,86.09519958,,,,
95,H11,NTC,GAPDH,,VIC,NFQ-MGB,NO_AMP,0,UNDETERMINED,0,,,FALSE,0.436806694,TRUE,3,39,77.68379974,,,,
